"CustomerID;""Age"";""Gender"";""LocationType"";""Occupation"";""IncomeGroup"";""MaritalStatus"";""ProductType"";""PremiumAmount"";""CoverageAmount"";""RiskScore"";""ClaimsMade"";""BrowsingTime"";""PreferredDevice"";""PaymentMode"";""CampaignSource"";""ClickedOffer"";""PolicyRenewed"";""Churned"";""DependentsCount"";""AvgMonthlySpending"";""PagesViewed"";""SessionDuration"";""DaysSinceLastVisit"";""RegionTier"";""ReferralUsed"";""TravelDays"";""ChurnRiskScore"""
"1;73;""Female"";""Rural"";""Housewife"";""Lower"";""Married"";""Life Insurance"";22777;10000000;""Low"";2;9.6;""Mobile"";""NetBanking"";""Partner Site"";0;1;1;2;10334;3;16.9;77;""Tier 1"";""No"";"""";6.2"
"2;87;""Male"";""Urban"";""Business Owner"";""Upper"";""Widowed"";""Health Insurance"";73783;500000;""Medium"";2;14.2;""Mobile"";""Credit Card"";""Partner Site"";1;0;0;3;14706;12;20.0;8;""Tier 1"";""Yes"";"""";5.3"
"3;57;""Female"";""Semi-Urban"";""IT Professional"";""Upper"";""Married"";""Pocket Insurance"";538;200000;""Medium"";2;10.9;""Desktop"";""NetBanking"";""SMS"";0;1;1;0;14607;1;10.2;13;""Tier 1"";""No"";"""";6.699999999999999"
"4;52;""Female"";""Rural"";""Teacher"";""Middle"";""Single"";""Travel Insurance"";687;50000;""Low"";0;16.2;""Mobile"";""Credit Card"";""App"";0;0;0;1;7965;8;840.0;45;""Tier 2"";""No"";""5.0"";5.0"
"5;26;""Female"";""Rural"";""Business Owner"";""Upper"";""Widowed"";""Travel Insurance"";524;200000;""Medium"";4;15.7;""Mobile"";""Credit Card"";""Partner Site"";1;1;1;3;10198;2;240.0;85;""Tier 3"";""Yes"";""2.0"";7.3"
"6;58;""Male"";""Rural"";""Teacher"";""Middle"";""Single"";""Life Insurance"";28999;20000000;""Low"";3;13.0;""App"";""Credit Card"";""Email"";1;1;1;2;12110;1;17.9;39;""Tier 2"";""Yes"";"""";6.8"
"7;33;""Female"";""Semi-Urban"";""Engineer"";""Upper"";""Single"";""Life Insurance"";6419;1500000;""Medium"";1;11.4;""Mobile"";""Debit Card"";""Google Ads"";0;0;0;0;9670;4;17.8;63;""Tier 3"";""Yes"";"""";3.5"
"8;20;""Male"";""Semi-Urban"";""IT Professional"";""Upper"";""Single"";""Health Insurance"";5916;400000;""Low"";2;8.2;""App"";""Debit Card"";""Email"";0;0;0;0;10215;14;19.9;51;""Tier 3"";""No"";"""";5.1"
"9;56;""Male"";""Rural"";""Business Owner"";""Upper"";""Widowed"";""Travel Insurance"";587;200000;""Low"";1;1.6;""App"";""UPI"";""App"";1;0;0;3;4273;9;240.0;6;""Tier 2"";""Yes"";""3.0"";4.8"
"10;55;""Male"";""Rural"";""Retired"";""Middle"";""Married"";""Health Insurance"";21042;400000;""Low"";1;4.4;""App"";""Debit Card"";""Google Ads"";0;0;0;2;7894;3;9.1;44;""Tier 1"";""No"";"""";4.7"
